icon,Year,Season,SeasonName
/common/destiny2_content/icons/31445f1891ce9eb464ed1dcf28f43613.png,6,20,Season of Defiance

/common/destiny2_content/icons/a3923ae7d2376a1c4eb0f1f154da7565.png,5,18,Season the Plunder

/common/destiny2_content/icons/fb50cd68a9850bd323872be4f6be115c.png,1,1,The Red War

/common/destiny2_content/icons/d92e077d544925c4f37e564158f8f76a.png,4,15,Season of the Lost

/common/destiny2_content/icons/e775dcb3d47e3d54e0e24fbdb64b5763.png,5,19,Season of the Seraph

/common/destiny2_content/icons/b973f89ecd631a3e3d294e98268f7134.png,5,16,Season of the Witch Queen

/common/destiny2_content/icons/a2fb48090c8bc0e5785975fab9596ab5.png,6,23,Season of the Wish

/common/destiny2_content/icons/2c024f088557ca6cceae1e8030c67169.png,1,2,Curse of Osiris

/common/destiny2_content/icons/448f071a7637fcefb2fccf76902dcf7d.png,2,5,Season of the Forge

/common/destiny2_content/icons/9e0f43538efe9f8d04546b4b0af6cc43.png,4,12,Beyond Light

/common/destiny2_content/icons/4c25426263cacf963777cd4988340838.png,3,11,Season of Arrivals

/common/destiny2_content/icons/0337ec21962f67c7c493fedb447c4a9b.png,7,24,Episode: Echoes

/common/destiny2_content/icons/6e4fdb4800c34ccac313dd1598bd7589.png,5,16,Season of the Risen

/common/destiny2_content/icons/5ac4a1d48a5221993a41a5bb524eda1b.png,4,13,Season the Chosen

/common/destiny2_content/icons/2352f9d04dc842cfcdda77636335ded9.png,3,(8-11),Shadowkeep

/common/destiny2_content/icons/1b6c8b94cec61ea42edb1e2cb6b45a31.png,2,(4-7),Forsaken

/common/destiny2_content/icons/6026e9d64e8c2b19f302dafb0286897b.png,6,21,Season of the Deep

/common/destiny2_content/icons/5364cc3900dc3615cb0c4b03c6221942.png,2,7,Season of Opulence

/common/destiny2_content/icons/5586f6a4193e34acc035209b5e9204d8.png,7,25,Episode Revenant

/common/destiny2_content/icons/3de52d90db7ee2feb086ef6665b736b6.png,6,22,Season of the Witch

/common/destiny2_content/icons/23968435c2095c0f8119d82ee222c672.png,4,14,Season of the Splicer

/common/destiny2_content/icons/af00bdcd3e3b89e6e85c1f63ebc0b4e4.png,6,(20-23), Lightfall

/common/destiny2_content/icons/ed6c4762c48bd132d538ced83c1699a6.png,1,3,Warmind

/common/destiny2_content/icons/e3ea0bd2e889b605614276876667759c.png,7,(24-26),The Final Shape

/common/destiny2_content/icons/f80e39c767f309f0b2be625dae0e3744.png,,,

/common/destiny2_content/icons/1448dde4efdb57b07f5473f87c4fccd7.png,2,6,Season of the Drifter

/common/destiny2_content/icons/d5a3f4d7d20fefc781fea3c60bde9434.png,6,23,Post Season of the Wish

/common/destiny2_content/icons/ab075a3679d69f40b8c2a319635d60a9.png,5,17,Season of the Haunted

/common/destiny2_content/icons/52523b49e5965f6f33ab86710215c676.png,events,*,Solstice of Heroes

/common/destiny2_content/icons/671a19eca92ad9dcf39d4e9c92fcdf75.png,4,15,30th Anniversary

/common/destiny2_content/icons/be3c0a95a8d1abc6e7c875d4294ba233.png,4,12,Season of the Hunt

/common/destiny2_content/icons/efdb35540cd169fa6e334995c2ce87b6.png,events,*,Guardian Games

/common/destiny2_content/icons/ad7fdb049d430c1fac1d20cf39059702.png,events,*,The Dawning

/common/destiny2_content/icons/3ba38a2b9538bde2b45ec9313681d617.png,3,9,Season of the Dawn

/common/destiny2_content/icons/b12630659223b53634e9f97c0a0a8305.png,3,10,Season of the Worthy

/common/destiny2_content/icons/e8fe681196baf74917fa3e6f125349b0.png,3,8,Season of the Undying

/common/destiny2_content/icons/04de56db6d59127239ed51e82d16c06c.png,events,*,Crimson Days